ref_id,name,category,book,tabula,modern_location,recension,lon_ptolemy,lat_ptolemy,naming_observation,feature_id,sequence_in_feature,feature_closes_loop,river_feature_id,river_sequence_in_feature,island_feature_id,island_sequence_in_feature,island_feature_closes_loop,mountain_feature_id,mountain_sequence_in_feature
2.03.17.05,Petuaria,city,Europe,EU01,Brough-on-Humber,Omega,20.6666666666667,56.6666666666667,manually verified non-coastal exception despite sea-headed section (_NONCOASTAL_EXCEPTION_SECTIONS),,,,,,,,,,
2.03.18.03,Mediolanum,city,Europe,EU01,Whitchurch,Omega,16.75,56.6666666666667,no specific keyword match; section not sea-headed (default),,,,,,,,,,
2.03.18.04,Brannogenium,city,Europe,EU01,Leintwardine,Omega,16.75,56.25,no specific keyword match; section not sea-headed (default),,,,,,,,,,
2.03.19.02,Deva und Legio XX Valeria Victrix,city,Europe,EU01,Chester,Omega,18.5,55.0,no specific keyword match; section not sea-headed (default),,,,,,,,,,
2.03.19.03,Viroconium,city,Europe,EU01,Wroxeter,Omega,16.75,55.75,no specific keyword match; section not sea-headed (default),,,,,,,,,,
2.03.20.02,Lindum,city,Europe,EU01,Lincoln,Omega,18.6666666666667,55.75,no specific keyword match; section not sea-headed (default),,,,,,,,,,
2.03.20.03,Ratae,city,Europe,EU01,Leicester,Omega,18.0,55.5,no specific keyword match; section not sea-headed (default),,,,,,,,,,
2.03.21.02,Salinae,city,Europe,EU01,,Omega,26.0,55.6666666666667,no specific keyword match; section not sea-headed (default),,,,,,,,,,
2.03.21.03,Verulamium,city,Europe,EU01,Saint Albans,Omega,19.3333333333333,55.5,no specific keyword match; section not sea-headed (default),,,,,,,,,,
2.03.21.05,Venta,city,Europe,EU01,Caistor-by-Norwich,Omega,20.5,55.3333333333333,no specific keyword match; section not sea-headed (default),,,,,,,,,,
2.03.22.03,Camulodunum,city,Europe,EU01,Colchester,Omega,21.0,55.0,no specific keyword match; section not sea-headed (default),,,,,,,,,,
